"Date Format: dd/mm/yyyy mandatory","Start time Format: hh:mm:ss If UTC time is not used, please read manual. Mandatory","Duration Format: hh:mm mandatory","Title inserted into EIT Title Title and short description together must be up to 256 characters (DVB limitation) mandatory","Short description Will be inserted into EIT Short Event descriotion.Title and short description together must be up to 256 characters (DVB limitation) Optional","Long descritopn Will be inserted into EIT extended event description Maximum length (DVB limitation) :4k Optional","Genre max 50 characters Optional","Sub genre max 50 characters Optional","Parental_rating max 10 characters Optional"
"01/01/2021","00:00:00","01:16","Great Grand Masti","Three friends travel to a small town where they meet Ragini, a beautiful woman. However, they soon realise that she has brought nothing but trouble in their lives.","","","",""
"01/01/2021","01:16:00","01:17","Cycle Kick","Ramu yearns to play football while his brother, Deva, wants a bicycle. The brothers are happy when they find an abandoned bicycle, but things start to go wrong when it is stolen from them.","","","",""
"01/01/2021","02:33:00","00:22","Filler","Entertainment-based programme.","","","",""
"01/01/2021","02:55:00","02:27","A Sublime Love Story: Barsaat","Arav, an ambitious man, travels to the US to seek better opportunities and falls in love with Anna, who is unaware that he is already married.","","","",""
"01/01/2021","05:22:00","01:47","102 Not Out","Dattatraya Vakhariya is a 102-year-old man who lives with his 75-year-old son, Babulal. Dattatraya, who lives like a youngster, wants to break the world record for the oldest man living on earth.","","","",""
"01/01/2021","07:09:00","02:36","Aakrosh","Officers Pratap and Siddanth go to a village in Bihar to investigate the case of three missing students. They struggle with a corrupt political system and ignorant villagers.","","","",""
"01/01/2021","09:45:00","02:47","Housefull","Aarush is an unlucky man and carries his bad luck wherever he goes. His quest to find love only makes his life more miserable as he ends up in complicated situations.","","","",""
"01/01/2021","12:32:00","03:19","Happy New Year","In a quest to pull off a heist at a hotel in Dubai, Charlie assembles a team of non-dancers to take part in a dance competition at the hotel. They enlist the help of a bar dancer.","","","",""
"01/01/2021","15:51:00","02:38","Munna Michael","Mahinder, a gangster, hires Munna, a street dancer, to train him so that he can impress his lady-love, Dolly. However, when Dolly goes missing, Munna promises to bring her back.","","","",""
"01/01/2021","18:29:00","02:31","Super Taxi","A young man settles for the job of a taxi driver after quitting several odd jobs. However, things take a turn when he realises that the car he drives is possessed.","","","",""
"01/01/2021","21:00:00","03:00","Saaho","An undercover agent and his partner go after a thief who has stolen 2,000 crore rupees. Soon, they realise that the case is linked to the death of a crime lord and an emerging gang war.","","","",""
"02/01/2021","00:00:00","00:04","Saaho","An undercover agent and his partner go after a thief who has stolen 2,000 crore rupees. Soon, they realise that the case is linked to the death of a crime lord and an emerging gang war.","","","",""
"02/01/2021","00:04:00","02:13","Singh Is Kinng","Happy, notoriously famous for his antics, is sent to fetch Lakhan so that he can meet his ailing father. But, in Australia, Happy ends up taking Lakhan's place as the king of the local underworld.","","","",""
"02/01/2021","02:17:00","02:05","Hello Brother","Vishal, a policeman shot by tycoon Khanna, is saved by a heart transplant. He finds himself working with the spirit of his donor, Hero, to investigate the businessman's drug racket and seek revenge.","","","",""
"02/01/2021","04:22:00","01:45","FryDay","Rajiv, a bad salesman, must find a way to save his job even though he has personal problems after encountering a devious man who breaks into his house and has other plans for him.","","","",""
"02/01/2021","06:07:00","03:26","Salaam-E-Ishq","Six couples face problems in their lives when fate forces them to move away from each other. They must overcome these issues in order to make their love triumphant.","","","",""
"02/01/2021","09:33:00","02:21","Behen Hogi Teri","Gattu loves Binny but everyone in the neighbourhood forces him to treat her and all the women in the locality as his sisters. He wants to marry her and decides to fight against this prejudice.","","","",""
"02/01/2021","11:54:00","02:53","Simmba","Simmba, a corrupt police officer, works for Durva, an influential smuggler. However, his life takes an unusual turn when he decides to avenge a woman who was assaulted by Durva's brothers.","","","",""
"02/01/2021","14:47:00","02:43","Rustom","Rustom, a naval officer, shares a happy relationship with his wife Cynthia. Soon, he discovers her affair with Vikram, a close friend, and is accused of murdering him.","","","",""
"02/01/2021","17:30:00","02:30","Jabariya Jodi","Abhay, a righteous thug, forcefully kidnaps grooms who demand dowry and later marries them off. Babli, his childhood sweetheart, re-enters his life and changes his priorities.","","","",""
"02/01/2021","20:00:00","02:35","Pralay The Destroyer","When a criminal gang slaughters an entire family, the baby survives. He is taken in by a family and the forces of nature work together to bring him face to face with the gang again when he grows up.","","","",""
"02/01/2021","22:35:00","01:25","MP3: Mera Pehla Pehla Pyaar","Rohan and Ayesha are a couple but their relationship turns sour due to rumours that they are dating different people. They decide to part ways, only to realise that they are making a mistake.","","","",""
"03/01/2021","00:00:00","00:45","MP3: Mera Pehla Pehla Pyaar","Rohan and Ayesha are a couple but their relationship turns sour due to rumours that they are dating different people. They decide to part ways, only to realise that they are making a mistake.","","","",""
"03/01/2021","00:45:00","02:25","Buddha Mar Gaya","A rich industrialist dies just before the launch of the IPO of his company. Now, his family must keep the news of his death a secret in order to make their company's public offering a success.","","","",""
"03/01/2021","03:10:00","02:51","Satyagraha","Dwarka Anand serves prison time for assaulting a corrupt official while trying to obtain due compensation for his son's death. Manav, his son's friend, organises a multi-faceted campaign to free him.","","","",""
"03/01/2021","06:01:00","02:33","Raja Natwarlal","Raja cheats people to make quick money. However, he seeks help from Yogi to settle scores with Varda, a billionaire based in Cape Town, when he kills his best friend, Raghav.","","","",""
"03/01/2021","08:34:00","02:35","Entertainment","Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it.","","","",""
"03/01/2021","11:09:00","02:22","Jaya Janaki Nayaka Khoonkhar","A brave young man is unable to be with his girlfriend due to the disapproval of her parents. However, he vows to protect her after unknowingly saving her from a gang of thugs.","","","",""
"03/01/2021","13:31:00","02:41","Jai Simha","Narasimha, a hot-tempered mechanic with a heart of gold, protects an innocent family from the violent thugs of the city kingpin, Kariappan.","","","",""
"03/01/2021","16:12:00","02:33","Munna Michael","Mahinder, a gangster, hires Munna, a street dancer, to train him so that he can impress his lady-love, Dolly. However, when Dolly goes missing, Munna promises to bring her back.","","","",""
"03/01/2021","18:45:00","02:15","Commando 2","A four-member team goes on a covert mission to bring back Vicky Chaddha, a money launderer, from Malaysia. However, things get complicated after one of the members gets shot.","","","",""
"03/01/2021","21:00:00","02:38","2.0","When mobiles start flying from people's hands, Dr Vaseegaran and his robot Nila are asked to help. However, due to Pakshi Rajan having a hand in this, the two have to reinstate Chitti to defeat him.","","","",""
"03/01/2021","23:38:00","00:22","Anjaana Anjaani","Akash and Kiara, two heartbroken and suicidal people, find each other just as they are about to end their lives. The duo then decide to live life to the fullest until New Year's Day.","","","",""
"04/01/2021","00:00:00","02:22","Anjaana Anjaani","Akash and Kiara, two heartbroken and suicidal people, find each other just as they are about to end their lives. The duo then decide to live life to the fullest until New Year's Day.","","","",""
"04/01/2021","02:22:00","01:39","Thoda Lutf Thoda Ishq","Jhumroo and Ghungroo, two good-for-nothing, unemployed womanisers, realize their dream when they get jobs working at a beauty parlour run by two beautiful women.","","","",""
"04/01/2021","04:01:00","02:36","Kyon Ki - It's Fate","After accidentally killing his fiancee, Anand becomes insane and is admitted to a psychiatric hospital. Tanvi, his doctor, falls in love with him, but her father does not approve, given his past.","","","",""
"04/01/2021","06:37:00","02:06","Hotel Milan","Vipul, along with his girlfriend Shaheen and friend Saurabh, runs a hotel that is popular amongst couples. However, things take a turn when the hotel is raided by the anti-Romeo squad.","","","",""
"04/01/2021","08:43:00","01:42","Aatma - Feel It Around You","After losing the custody of his daughter Nia to his wife, Maya, Abhay dies in a car accident. However, his spirit continues to haunt their happy and peaceful life.","","","",""
"04/01/2021","10:25:00","02:30","Shoorveer 2","Jeeva and Joshna realise that they are living a life parallel to that of Srinivas and Swathi, just one year behind. When Swathi gets murdered, Jeeva must prevent Joshna from meeting the same fate.","","","",""
"04/01/2021","12:55:00","02:44","Ra.One","After facing criticism from his son and employer, Shekhar, a gaming programmer, creates an invincible virtual character called Ra.One. Soon Ra.One enters the real world and kills Shekhar.","","","",""
"04/01/2021","15:39:00","03:01","Don","Vijay, a lookalike of criminal kingpin Don, is hired by DCP D'Silva in order to find Don's secrets. But after D'Silva dies, Vijay struggles to reveal his real identity.","","","",""
"04/01/2021","18:40:00","02:20","Tutak Tutak Tutiya","Krishna unwillingly marries a village girl and moves to a new house. After seeing an abrupt and drastic change in her personality, he realises that a spirit has possessed her and tries to save her.","","","",""
"04/01/2021","21:00:00","02:25","Bundalbaaz","A young thug falls in love with a beautiful woman whose hearing is impaired. However, she seeks his help with a problem that soon puts the both of them in danger.","","","",""
"04/01/2021","23:25:00","00:35","Kyaa Kool Hain Hum 3","Kanhaiya, an adult film actor living in Thailand, falls in love with Shalu, a woman from a conservative family. In order to impress her father, he gets his colleagues to pretend to be his family.","","","",""
"05/01/2021","00:00:00","01:24","Kyaa Kool Hain Hum 3","Kanhaiya, an adult film actor living in Thailand, falls in love with Shalu, a woman from a conservative family. In order to impress her father, he gets his colleagues to pretend to be his family.","","","",""
"05/01/2021","01:24:00","02:17","Nanhe Jaisalmer","Nanhe, a tourist guide in Jaisalmer, is obsessed with his favourite actor, Bobby Deol. His dreams turn into reality when he learns that Bobby is visiting his city for a film shoot.","","","",""
"05/01/2021","03:41:00","03:07","Mausam","Punjabi man Harinder falls in love with a Kashmiri woman, Aayat. But they must overcome years of separation, due to communal riots, terrorist attacks and a major India-Pakistan war, to be together.","","","",""
"05/01/2021","06:48:00","02:21","Dishkiyaoon","Viki, who belongs to the cold world of an upper-class family, finds his solace among ruthless gangsters. The absence of love and care pushes him to use his devious mind to rise up in the underworld.","","","",""
